Date,Total
2019-01-02,288732
2019-01-03,312162
2019-01-04,246400
2019-01-05,214133
2019-01-06,208366
2019-01-07,125371
2019-01-08,85270
2019-01-10,67828
2019-01-11,91714
2019-01-12,210200
2019-01-13,271479
2019-01-14,151203
2019-01-15,79550
2019-01-17,73934
2019-01-18,89550
2019-01-19,137808
2019-01-20,136914
2019-01-21,83776
2019-01-22,59902
2019-01-24,78650
2019-01-25,81775
2019-01-26,142060
2019-01-27,162428
2019-01-28,66250
2019-01-29,89003
2019-01-31,71814
2019-02-01,72608
2019-02-02,142546
2019-02-03,142893
2019-02-04,100470
2019-02-05,97576
2019-02-07,80240
2019-02-08,69773
2019-02-09,128000
2019-02-10,146650
2019-02-11,184287
2019-02-12,83946
2019-02-14,83934
2019-02-15,91732
2019-02-16,105198
2019-02-17,147688
2019-02-18,108587
2019-02-19,60642
2019-02-21,83573
2019-02-22,82579
2019-02-23,140042
2019-02-24,156926
2019-02-25,124662
2019-02-26,107028
2019-02-28,71666
2019-03-01,81834
2019-03-02,145414
2019-03-03,156634
2019-03-04,105538
2019-03-05,123357
2019-03-07,72876
2019-03-08,106505
2019-03-09,158482
2019-03-10,155779
2019-03-11,76539
2019-03-12,97746
2019-03-14,102368
2019-03-15,85089
2019-03-16,123260
2019-03-17,158623
2019-03-18,116265
2019-03-19,99148
2019-03-21,151459
2019-03-22,130153
2019-03-23,151292
2019-03-24,164026
2019-03-25,127734
2019-03-26,130246
2019-03-28,117350
2019-03-29,145617
2019-03-30,162830
2019-03-31,192480
2019-04-01,120603
2019-04-02,120511
2019-04-04,116520
2019-04-05,114846
2019-04-06,187362
2019-04-07,187710
2019-04-08,110389
2019-04-09,119846
2019-04-11,122110
2019-04-12,151700
2019-04-13,232302
2019-04-14,202214
2019-04-15,148648
2019-04-16,158990
2019-04-18,135047
2019-04-19,136748
2019-04-20,217080
2019-04-21,222445
2019-04-22,91195
2019-04-23,98130
2019-04-25,83548
2019-04-26,93019
2019-04-27,178922
