Date,Total
2020-01-02,338431
2020-01-03,338876
2020-01-04,280859
2020-01-05,221441
2020-01-06,112667
2020-01-07,107275
2020-01-09,116077
2020-01-10,95327
2020-01-11,216055
2020-01-12,274174
2020-01-13,220859
2020-01-14,93779
2020-01-16,107391
2020-01-17,101089
2020-01-18,153200
2020-01-19,139842
2020-01-20,111397
2020-01-21,83612
2020-01-23,79416
2020-01-24,113225
2020-01-25,138492
2020-01-26,166096
2020-01-27,99064
2020-01-28,65286
2020-01-30,92291
2020-01-31,101845
2020-02-01,173733
2020-02-02,221353
2020-02-03,86022
2020-02-04,93969
2020-02-06,115406
2020-02-07,106769
2020-02-08,168072
2020-02-09,156883
2020-02-10,116827
2020-02-11,153341
2020-02-13,102901
2020-02-14,211597
2020-02-15,135162
2020-02-16,154344
2020-02-17,113799
2020-02-18,92447
2020-02-20,107537
2020-02-21,98008
2020-02-22,122906
2020-02-23,207783
2020-02-24,191249
2020-02-25,109313
2020-02-27,96227
2020-02-28,91493
2020-02-29,112603
